Niti Foundation Datasets,,,,,,,,,,,,,
Project,River,Latitude,Longitude,Province,District,Municipality,Capacity,Address,License No,Issued Date,Validity Date,Promoter,License_type
Andhi Khola,Andhi Khola,27.93833333,83.68097222,4,SYANGJA,Bhirkot,9.4,0,2_gtd,08/01/2052,30/12/2101,Butwal Power Company,Operation
Ankhu Khola - 1,Ankhu Khola,28.0125,84.91597222,3,DHADING,Tripura Sundari,7,"Kathmandu, Phone 01-4286228, 9841545350, 9851072170",32,26/08/2066,25/08/2101,Ankhu Jalvidut Co. Pvt. Ltd,Operation
Baramchi Khola HPP,Baramchi,27.84736111,85.79069444,3,SINDHUPALCHOK,Barhabise,4.2,"Thulo Bharyang, Kathmandu Phone 01-4672598,4672599",33,26/10/2066,25/10/2101,Unique Hydel Pvt Ltd,Operation
Bhairab Kund Khola,Bhairab Kund,27.93638889,85.93625,3,SINDHUPALCHOK,Bhotekoshi,3,"Minbhawan Kathmandu, Phone01-4482201, Fax 01-4482008",30,19/05/2066,18/05/2101,Bhairabkund Hydropower Pvt. Ltd.,Operation
Bijayapur-1,Bijayapur,28.18375,84.03291667,4,KASKI,Madi,4.5,0,34,22/12/2066,21/12/2101,Bhagawati Hydropower Development Company,Operation
Chake Khola,Chake Khola,27.62972222,86.33708333,3,RAMECHHAP,Umakunda,2.83,"Khusibu, Ward No. 17, KTM",114,21/11/2070,20/11/2105,Garjang Upatyaka HP Company Limited,Operation
Chaku Khola,Chaku,27.875,85.92083333,3,SINDHUPALCHOK,Bhotekoshi,3,0,17,04/11/2061,03/11/2096,Alliance Power Nepal P.Ltd,Operation
Chameliya Khola,Chameliya Khola,29.70833333,80.69166667,7,DARCHULA,Shailyashikhar,30,0,20,04/09/2063,03/09/2098,Nepal Electricity Authority,Operation
Charnawati Khola Hydroelectric Project,Charnawati,27.64305556,86.02791667,3,DOLAKHA,Bigu,3.52,"Baneswar-10, Kathmandu, Tel; 4441131, Fax: 014441973,POB: 26435",40,17/08/2067,16/08/2102,Nepal Hydro Developer Pvt Ltd,Operation
Chhandi Khola,Chhandi,28.26055556,84.47888889,4,LAMJUNG,Dordi,2,"Ph: 014424925, 9851095497, 014426483",103,24/05/2070,23/05/2105,Chhyandi Hydropower Co. P. Ltd,Operation
Chhote khola,Chhote,28.17236111,84.89416667,4,GORKHA,Aarughat,0.993,"Kaldhara, Kathmandu, P.O. Box: 8975 EPC 5308 Phone : 4361915",0,04/07/2060,0/0/1,Pashupati Environmental Engineering Company Pvt. Ltd.,Operation
Chilime,Chilime,28.16972222,85.31958333,3,RASUWA,Gosaikunda,22,0,6,26/04/2054,30/11/2104,Chilime Hydropower Company Limited,Operation
Daram Khola-A,Daram,28.28847222,83.41625,4,MYAGDI,Mangala,2.5,"Gongabu-29 Kathmandu, Phone 01-4364009",89,02/02/2070,01/02/2105,Sayapatri Hydropower Pvt. Ltd.,Operation
Daraundi A,Daraundi,28.1225,84.67722222,4,GORKHA,Sulikot,6,"Samakhusi, Kathmandu, Nepal. Ph: 4360076",62,16/02/2069,15/02/2104,Daraundi Kalika Hydro,Operation
Devighat,Trishuli,27.90222222,85.13888889,3,NUWAKOT,Panchakanya,14.1,0,1_gtd,06/12/2051,30/11/2101,Nepal Electricity Authority,Operation
Dwari Khola SHP,Dwari,28.93166667,81.82847222,6,JAJARKOT,Junichande,3.75,"Kupandole, Lalitpur, Tel: 9841488723,9841505699",124,26/02/2071,25/02/2106,Bhugol Energy Development Company Pvt Ltd,Operation
Feme khola,Pheme,27.14763889,87.79277778,1,PANCHTHAR,Falelung,0.995,0,0,25/01/2063,0/0/1,Khoranga Khola Hydropower Development Company Pvt. Ltd.,Operation
Gandak,Narayani,27.44680556,83.86291667,5,NAWALPARASI_W,Pratappur,15,0,1_gtd,06/12/2051,30/11/2101,Nepal Electricity Authority,Operation
Hewa khola,Hewa Khola,27.32041667,87.33111111,1,SANKHUWASABHA,Sabhapokhari,4.455,0,25,22/01/2065,21/01/2100,Barun Hydropower Development Co. Pvt. Ltd,Operation
Hewa Khola A,Hewa Khola,27.18083333,87.82055556,1,PANCHTHAR,Falelung,14.9,"Hativan 15, Lalitpur, Phone 01-5251003 fax 5251004",74,21/08/2069,20/08/2104,Panchthar Power Company Pvt. Ltd.,Operation
Indrawati -III,Indrawati Khola,27.87402778,85.605,3,SINDHUPALCHOK,Panchpokhari Thangpal,7.5,0,7,14/11/2054,29/09/2104,National Hydropower Company Pvt. Ltd.,Operation
Jhankre Mini HPP,Jhakre Khola,27.56652778,86.18680556,3,DOLAKHA,Jiri,0.635,"Kirne, Dolakha, Phone no 9844196798",0,17/10/2074,0/0/1,Khimti Gramin Bidhyut Sahakari Sanstha Limited,Operation
Jhimruk Khola,Jhimruk,28.07333333,82.80986111,5,PYUTHAN,Mandavi,12.5,0,3_gtd,25/01/2052,30/12/2101,Butwal Power Company,Operation
Jhyari Khola,Jhyari Khola,27.75902778,85.67736111,3,SINDHUPALCHOK,Chautara SangachokGadhi,2,"Baneshwor, Kathamandu - 10, Ph. 9851003846,9751000944",63,0/0/1,29/02/2104,"Electrocom and Research Centre, 9851003846",Operation
Jiri Khola SHP,Jiri Khola,27.59875,86.22833333,3,RAMECHHAP,Gokulganga,2.4,"Buddhanagar, Kathmandu. G.P.O Box: 8974, 4783532,4782765",42,17/11/2067,16/11/2102,Bojini Company (P.) Ltd,Operation
Jogmai Khola,Jogmai Khola,26.91722222,88.03736111,1,ILAM,Maijogmai,7.6,"G.P. O. Box 8975, EPC 1341 KTM , Pulchok Lalitpur, Phone 5532860",86,29/12/2069,28/12/2104,Sanvi Energy Pvt. Ltd.,Operation
Kali Gandaki A,Kali Gandaki,27.96555556,83.52944444,5,PALPA,Tansen,144,0,4,21/07/2053,30/11/2101,Nepal Electricity Authority,Operation
Khani Khola,Khani Khola,27.49083333,85.29472222,3,LALITPUR,Bagmati,2,"Baluwatar Kathmandu, P.O.Box 8975,Ph 01-4417220",85,03/11/2069,02/11/2104,Khani Khola Hydropower Company Ltd,Operation
Khimti -I,Khimti Khola,27.51319444,86.17555556,3,DOLAKHA,Tamakoshi,60,0,1,01/11/2051,29/10/2101,Himal Power Limited,Operation
Khudi Khola,Khudi,28.29166667,84.34166667,4,LAMJUNG,Marsyangdi,4,0,16,13/11/2061,12/11/2096,Khudi hydropower limited,Operation
Kulekhani-I,Kulekhani,27.5825,85.15986111,3,MAKAWANPUR,Indrasarowar,60,0,1_gtd,06/12/2051,30/11/2101,Nepal Electricity Authority,Operation
Kulekhani-II,Kulekhani,27.51833333,85.09069444,3,MAKAWANPUR,Bhimphedi,32,0,1_gtd,06/12/2051,30/11/2101,Nepal Electricity Authority,Operation
Lower Chaku Khola,Chaku,27.88597222,85.91833333,3,SINDHUPALCHOK,Bhotekoshi,1.8,0,26,09/05/2065,08/05/2100,Laughing Buddha Power Nepal Pvt. Ltd,Operation
Lower Piluwa,Piluwa Khola,27.26458333,87.31486111,1,SANKHUWASABHA,Dharmadevi,0.99,"Baneswor VDC, Sankhuwasabha, Phone 4230887, Fax:4238059",0,03/01/2065,0/0/1,Baneshwor Hydropower P Ltd.,Operation
Madhya Marsyangdi,Marsyangdi,28.16805556,84.42625,4,LAMJUNG,Besishahar,70,0,8,12/03/2057,31/01/2106,Nepal Electricity Authority,Operation
Madkyu Khola,Madkyu,28.36805556,84.13555556,4,KASKI,Madi,13,"P.O.Box. 170, Lekhnath Nagar Palika - 3, Kaski, Phone 061-560236, Fax 061-532466",116,21/11/2070,20/11/2105,Silkes Hydropower Pvt.Ltd,Operation
Mai,Mai Khola,26.81125,87.89166667,1,ILAM,Illam,22,"GPO 19737, Ph: 44445952, 444642 Fax:4425953",37,13/05/2067,12/05/2102,Sanima Mai Hydropower Limited,Operation
Mai Cascade,Mai Khola,26.77555556,87.87652778,1,ILAM,Illam,7,"Narananchaur, Naksal Kathmandu, P. O. Box 19737, Phone 01-4446442, Fax 01-4441277",72,15/07/2069,14/07/2104,Sanima Mai Hydropower Limited,Operation
Mai Cascade HPP,Mai Khola,26.86194444,87.92416667,1,ILAM,Maijogmai,8,"Baneswar, Kathmandu Tel: 9851085922,2043191",101,15/04/2070,14/04/2105,Himal Dolkha Hydropower Company Pvt Ltd,Operation
