"Project","Address","Province","District","Municipality","Capacity","River","License No","Issued Date","Validity Date","Promoter","Longitude","Latitude","License_type"
"Ankhu Khola","P.O. Box 19554, Kathmandu, Nepal, Phone no 4033752, 4033753, email: ankhuhp@gmail.com","3","NUWAKOT","Kispang","42.9","Ankhu Khola","184","2073/10/27","2108/10/26","Ankhu Hydropower Pvt. Ltd","84.99916667","28.09166667","Generation"
"Badigad HPP","P. O. Box : 4610, Panipokhari , Kathmandu, Phone: 01-4435485, Fax: 01-4435485","4","BAGLUNG","Dhorpatan","6.6","Badigad","129","2071/9/17","2106/9/16","Water and Energy Nepal Pvt Ltd","83.17291667","28.32875","Generation"
"Bagmati Nadi","Kamaladi 13,Kathmandu.Tel no. 4169088","3","LALITPUR","Konjyosom","22","Bagmati","125","2071/3/19","2106/3/18","Mandu Hydropower Pvt. Ltd.","85.24208333","27.52375","Generation"
"Balephi","GPO Box:772, Kathmandu Ph. No. 01-4224074,4428732, Fax:01-4266133","3","SINDHUPALCHOK","Jugal","23.52","Balephi","191","2073/12/16","2108/12/15","Balephi Jalbidhut Company Ltd","85.75833333","27.87833333","Generation"
"Balephi A","Kamaladi, Kathmandu, Phone 01-4474328,4462844","3","SINDHUPALCHOK","Jugal","10.6","Balephi","132","2072/1/6","2107/1/5","Moonlight Hydropower Company Pvt. Ltd.","85.76263889","27.85416667","Generation"
"Bijaypur Khola-2 HPP","Lekhanath Nagarpalika, Phone no 0610465562, email : civilhydropower@gmail.com","4","KASKI","Pokhara Lekhnath","4.5","Bijaypur","166","2073/4/25","2108/4/24","Civil hydropower company","84.03833333","28.16486111","Generation"
"Buku Khola","Lalitpur, phone: 5201375","3","RAMECHHAP","Umakunda","6","Buku","216","2074/9/25","2109/9/24","Apolo Hydropower Pvt.Ltd","86.36236111","27.51972222","Generation"
"Buku-Kapati Hydropower Project","Baluwatar-4, Kathmadu. PO Box : 20762, Phone no 4167507, 6911637","1","SOLUKHUMBU","Solududhakunda","5","Buku","203","2074/5/8","2109/5/7","Him Star Urja Company Pvt. Ltd.","86.38944444","27.51111111","Generation"
"Chauri Khola","Anamnagar-32 , KTM, Ph: 014102696, Fax 4102696, email - chaurihydro@gmail.com","3","DOLAKHA","Bhimeshwor","5","Chauri","156","2073/1/14","2108/1/13","Chauri Hydropower P Ltd","85.87652778","27.60763889","Generation"
"ChulepuKhola Hydropower Project","Madhyapur Thimi 15, Kausaltar,Bhaktapur 6630660,9851088190","3","RAMECHHAP","Umakunda","8.52","Chulepu,Dhunde Khola","155","2073/1/13","2108/1/12","Chandeswari Mahadev Khola Micro Hydro Com.P.Ltd.","86.28069444","27.50527778","Generation"
