Date,discharge

14/05/2020,65.97
15/05/2020,91.21
16/05/2020,88.53
17/05/2020,126.28
18/05/2020,138.31
19/05/2020,120.84
20/05/2020,109.15
21/05/2020,106.6
22/05/2020,130.67
23/05/2020,189.59
24/05/2020,172.33
25/05/2020,189.8
26/05/2020,230.9
27/05/2020,185.6
28/05/2020,154.5
29/05/2020,189.23
30/05/2020,165.39
31/05/2020,130.55
01/06/2020,141.09
02/06/2020,122.57
03/06/2020,103.24
04/06/2020,105.44
05/06/2020,117.01
06/06/2020,220.95
07/06/2020,205.79
08/06/2020,158.11
09/06/2020,171.06
10/06/2020,178.01
11/06/2020,194.68
12/06/2020,189.35
13/06/2020,206.95
14/06/2020,260.76
15/06/2020,235.65
16/06/2020,273.15
17/06/2020,264.13
18/06/2020,517.13
19/06/2020,544.33
20/06/2020,671.87
21/06/2020,466.09
22/06/2020,343.97
23/06/2020,338.54
24/06/2020,346.99
25/06/2020,340.97
26/06/2020,317.93
27/06/2020,361.69
28/06/2020,451.62
29/06/2020,462.84
30/06/2020,388.54
01/07/2020,357.4
02/07/2020,385.53
03/07/2020,422.46
04/07/2020,408.56
05/07/2020,451.62
06/07/2020,516.09
07/07/2020,718.99
08/07/2020,596.41
09/07/2020,648.96
10/07/2020,1070.38
11/07/2020,675.23
12/07/2020,649.18
13/07/2020,867.24
14/07/2020,672.68
15/07/2020,638.08
16/07/2020,692.24
17/07/2020,640.27
18/07/2020,575.35
19/07/2020,604.05
20/07/2020,1354.75
21/07/2020,1444.45
22/07/2020,855.67
23/07/2020,857.17
24/07/2020,766.89
25/07/2020,817.37
26/07/2020,648.84
27/07/2020,749.89
28/07/2020,661.11
29/07/2020,807.06
30/07/2020,725.35
31/07/2020,698.38
01/08/2020,727.43
02/08/2020,680.91
03/08/2020,690.62
04/08/2020,604.86
05/08/2020,605.67
06/08/2020,714.35
07/08/2020,593.4
08/08/2020,607.75
09/08/2020,612.73
10/08/2020,934.37
11/08/2020,772.87
12/08/2020,718
13/08/2020,1007.5
14/08/2020,910.67
15/08/2020,1103.6
16/08/2020,806.24
17/08/2020,671.18
18/08/2020,606.47
19/08/2020,614.66
20/08/2020,616.67
21/08/2020,755.22
22/08/2020,604.09
23/08/2020,601.73
24/08/2020,616.63
25/08/2020,689.78
26/08/2020,580.53
27/08/2020,503.12
28/08/2020,479.67
29/08/2020,461.1
30/08/2020,408.45
31/08/2020,397.27
01/09/2020,423.5
02/09/2020,415.66
03/09/2020,452.19
04/09/2020,370.14
05/09/2020,405.07
06/09/2020,481.32
07/09/2020,484.8
08/09/2020,420.02
09/09/2020,457.56
10/09/2020,477.05
11/09/2020,497.02
12/09/2020,423.86
13/09/2020,406.4
14/09/2020,402.88
15/09/2020,518
16/09/2020,539.57
17/09/2020,484.12
18/09/2020,450.1
19/09/2020,606.94
20/09/2020,408.01
21/09/2020,359.81
22/09/2020,367.09
23/09/2020,755.9
24/09/2020,1280.05
25/09/2020,753.03
26/09/2020,682.46
27/09/2020,533.43
28/09/2020,499.88
29/09/2020,406.15
30/09/2020,412.04
01/10/2020,360.23
02/10/2020,343.65
03/10/2020,323.47
04/10/2020,305.51
05/10/2020,279.52
06/10/2020,277.14
07/10/2020,258.9
08/10/2020,238.67
09/10/2020,235.97
10/10/2020,223.9
11/10/2020,211.84
12/10/2020,207.18
13/10/2020,193.36
14/10/2020,184.96
15/10/2020,177.08
16/10/2020,176.32
17/10/2020,172.68
18/10/2020,187.45
19/10/2020,214.91
20/10/2020,219.95
21/10/2020,227.09
22/10/2020,209.46
23/10/2020,208.86
24/10/2020,203.09
25/10/2020,210.99
26/10/2020,230.6
27/10/2020,328.7
28/10/2020,312.45
29/10/2020,243.05
30/10/2020,327.47
31/10/2020,182.81
01/11/2020,166.56
02/11/2020,172.36
03/11/2020,164.24
04/11/2020,160.79
05/11/2020,145.59
06/11/2020,127.5
07/11/2020,144.82
08/11/2020,146.66
09/11/2020,137.67
10/11/2020,126.34
11/11/2020,133.78
12/11/2020,104.92
13/11/2020,106.11
14/11/2020,95.51
15/11/2020,135.26
16/11/2020,136.27
17/11/2020,124.27
18/11/2020,111.01
19/11/2020,84.91
20/11/2020,81.74
21/11/2020,83.1
22/11/2020,81.54
23/11/2020,81.46
24/11/2020,77.1
25/11/2020,76.5
26/11/2020,73.1
27/11/2020,72.98
28/11/2020,76.53
29/11/2020,68.63
30/11/2020,73.28
01/12/2020,71.41
02/12/2020,70.88
03/12/2020,67.88
04/12/2020,73.42
05/12/2020,67.23
06/12/2020,68.92
07/12/2020,68.35
08/12/2020,68.85
09/12/2020,67.03
10/12/2020,68.4
11/12/2020,62.47
12/12/2020,71.63
13/12/2020,66.3
14/12/2020,60.62
15/12/2020,65.15
