Dates,Values
01/01/1979 00:00,24.244612
02/01/1979 00:00,24.540276
03/01/1979 00:00,24.906027
04/01/1979 00:00,25.329712
05/01/1979 00:00,25.833849
06/01/1979 00:00,26.076883
07/01/1979 00:00,26.757187
08/01/1979 00:00,27.677725
09/01/1979 00:00,29.790909
10/01/1979 00:00,33.278248
11/01/1979 00:00,32.023823
12/01/1979 00:00,29.15175
13/01/1979 00:00,28.86531
14/01/1979 00:00,29.264711
15/01/1979 00:00,29.69844
16/01/1979 00:00,30.05825
17/01/1979 00:00,30.664648
18/01/1979 00:00,33.348362
19/01/1979 00:00,44.010258
20/01/1979 00:00,40.13714
21/01/1979 00:00,37.310684
22/01/1979 00:00,35.025326
23/01/1979 00:00,33.985184
24/01/1979 00:00,35.063843
25/01/1979 00:00,36.3168
26/01/1979 00:00,36.71101
27/01/1979 00:00,36.002598
28/01/1979 00:00,35.879887
29/01/1979 00:00,36.816162
30/01/1979 00:00,37.183475
31/01/1979 00:00,37.143246
01/02/1979 00:00,37.37682
02/02/1979 00:00,37.792927
03/02/1979 00:00,38.36961
04/02/1979 00:00,39.943806
05/02/1979 00:00,44.762394
06/02/1979 00:00,49.11857
07/02/1979 00:00,50.31223
08/02/1979 00:00,50.944046
09/02/1979 00:00,51.668064
10/02/1979 00:00,52.67716
11/02/1979 00:00,55.462635
12/02/1979 00:00,54.700813
13/02/1979 00:00,51.03907
14/02/1979 00:00,50.72834
15/02/1979 00:00,53.60099
16/02/1979 00:00,56.31872
17/02/1979 00:00,57.862766
18/02/1979 00:00,56.460827
19/02/1979 00:00,53.719517
20/02/1979 00:00,52.045883
21/02/1979 00:00,52.772724
22/02/1979 00:00,55.975418
23/02/1979 00:00,60.013626
24/02/1979 00:00,62.261208
25/02/1979 00:00,64.07193
26/02/1979 00:00,68.27398
27/02/1979 00:00,70.06611
28/02/1979 00:00,69.24443
01/03/1979 00:00,67.88626
02/03/1979 00:00,70.60321
03/03/1979 00:00,84.469406
04/03/1979 00:00,91.66537
05/03/1979 00:00,81.82227
06/03/1979 00:00,72.21694
07/03/1979 00:00,71.420815
08/03/1979 00:00,73.28801
09/03/1979 00:00,75.68749
10/03/1979 00:00,78.895035
11/03/1979 00:00,83.09321
12/03/1979 00:00,84.238914
13/03/1979 00:00,90.37654
14/03/1979 00:00,91.49144
15/03/1979 00:00,91.3459
16/03/1979 00:00,95.42799
17/03/1979 00:00,102.39764
18/03/1979 00:00,108.9092
19/03/1979 00:00,114.75935
20/03/1979 00:00,113.50161
21/03/1979 00:00,113.02563
22/03/1979 00:00,118.3806
23/03/1979 00:00,117.68324
24/03/1979 00:00,124.42993
25/03/1979 00:00,144.4611
26/03/1979 00:00,168.45995
27/03/1979 00:00,189.93431
28/03/1979 00:00,204.3243
29/03/1979 00:00,211.49202
30/03/1979 00:00,222.62206
31/03/1979 00:00,237.30084
01/04/1979 00:00,258.35455
02/04/1979 00:00,270.0264
03/04/1979 00:00,300.12494
04/04/1979 00:00,349.77832
05/04/1979 00:00,368.63947
06/04/1979 00:00,358.9112
07/04/1979 00:00,385.39484
08/04/1979 00:00,398.5005
09/04/1979 00:00,386.18036
10/04/1979 00:00,312.21915
11/04/1979 00:00,269.62598
12/04/1979 00:00,249.97061
13/04/1979 00:00,290.03055
14/04/1979 00:00,567.7697
15/04/1979 00:00,657.06445
16/04/1979 00:00,422.21344
17/04/1979 00:00,308.14426
18/04/1979 00:00,293.2124
19/04/1979 00:00,355.3601
20/04/1979 00:00,520.4012
21/04/1979 00:00,551.71326
22/04/1979 00:00,368.254
